Q,A,label
아메리카노 3잔이랑 카페라떼 2잔 합해서 얼마죠?,총 19500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 3잔 합해서 얼마죠?,총 24000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 4잔 합해서 얼마죠?,총 28500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 5잔 합해서 얼마죠?,총 33000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페라떼 1잔 합해서 얼마죠?,총 18500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페라떼 2잔 합해서 얼마죠?,총 23000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페라떼 3잔 합해서 얼마죠?,총 27500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페라떼 4잔 합해서 얼마죠?,총 32000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페라떼 5잔 합해서 얼마죠?,총 36500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 1잔 합해서 얼마죠?,총 22000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 2잔 합해서 얼마죠?,총 26500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 3잔 합해서 얼마죠?,총 31000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 4잔 합해서 얼마죠?,총 35500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 5잔 합해서 얼마죠?,총 40000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 1잔 합해서 얼마죠?,총 9000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 2잔 합해서 얼마죠?,총 14500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 3잔 합해서 얼마죠?,총 20000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 4잔 합해서 얼마죠?,총 25500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 5잔 합해서 얼마죠?,총 31000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 1잔 합해서 얼마죠?,총 12500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 2잔 합해서 얼마죠?,총 18000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 3잔 합해서 얼마죠?,총 23500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 4잔 합해서 얼마죠?,총 29000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 5잔 합해서 얼마죠?,총 34500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 1잔 합해서 얼마죠?,총 16000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 2잔 합해서 얼마죠?,총 21500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 3잔 합해서 얼마죠?,총 27000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 4잔 합해서 얼마죠?,총 32500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 5잔 합해서 얼마죠?,총 38000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 1잔 합해서 얼마죠?,총 19500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 2잔 합해서 얼마죠?,총 25000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 3잔 합해서 얼마죠?,총 30500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 4잔 합해서 얼마죠?,총 36000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 5잔 합해서 얼마죠?,총 41500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 1잔 합해서 얼마죠?,총 23000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 2잔 합해서 얼마죠?,총 28500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 3잔 합해서 얼마죠?,총 34000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 4잔 합해서 얼마죠?,총 39500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 5잔 합해서 얼마죠?,총 45000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 1잔 합해서 얼마죠?,총 9000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 2잔 합해서 얼마죠?,총 14500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 3잔 합해서 얼마죠?,총 20000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 4잔 합해서 얼마죠?,총 25500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 5잔 합해서 얼마죠?,총 31000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 1잔 합해서 얼마죠?,총 12500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 2잔 합해서 얼마죠?,총 18000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 3잔 합해서 얼마죠?,총 23500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 4잔 합해서 얼마죠?,총 29000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 5잔 합해서 얼마죠?,총 34500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 1잔 합해서 얼마죠?,총 16000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 2잔 합해서 얼마죠?,총 21500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 3잔 합해서 얼마죠?,총 27000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 4잔 합해서 얼마죠?,총 32500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 5잔 합해서 얼마죠?,총 38000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 1잔 합해서 얼마죠?,총 19500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 2잔 합해서 얼마죠?,총 25000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 3잔 합해서 얼마죠?,총 30500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 4잔 합해서 얼마죠?,총 36000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 5잔 합해서 얼마죠?,총 41500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 1잔 합해서 얼마죠?,총 23000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 2잔 합해서 얼마죠?,총 28500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 3잔 합해서 얼마죠?,총 34000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 4잔 합해서 얼마죠?,총 39500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 5잔 합해서 얼마죠?,총 45000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 1잔 합해서 얼마죠?,총 7500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 2잔 합해서 얼마죠?,총 11500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 3잔 합해서 얼마죠?,총 15500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 4잔 합해서 얼마죠?,총 19500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 5잔 합해서 얼마죠?,총 23500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 1잔 합해서 얼마죠?,총 11000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 2잔 합해서 얼마죠?,총 15000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 3잔 합해서 얼마죠?,총 19000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 4잔 합해서 얼마죠?,총 23000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 5잔 합해서 얼마죠?,총 27000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 1잔 합해서 얼마죠?,총 14500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 2잔 합해서 얼마죠?,총 18500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 3잔 합해서 얼마죠?,총 22500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 4잔 합해서 얼마죠?,총 26500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 5잔 합해서 얼마죠?,총 30500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 1잔 합해서 얼마죠?,총 18000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 2잔 합해서 얼마죠?,총 22000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 3잔 합해서 얼마죠?,총 26000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 4잔 합해서 얼마죠?,총 30000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 5잔 합해서 얼마죠?,총 34000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 1잔 합해서 얼마죠?,총 21500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 2잔 합해서 얼마죠?,총 25500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 3잔 합해서 얼마죠?,총 29500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 4잔 합해서 얼마죠?,총 33500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 5잔 합해서 얼마죠?,총 37500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,총 9000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,총 14500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,총 20000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,총 25500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,총 31000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,총 12500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,총 18000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,총 23500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,총 29000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,총 34500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,총 16000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,총 21500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,총 27000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,총 32500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,총 38000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,총 19500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,총 25000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,총 30500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,총 36000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,총 41500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,총 23000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,총 28500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,총 34000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,총 39500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,총 45000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 1잔 합해서 얼마죠?,총 8500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 2잔 합해서 얼마죠?,총 13500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 3잔 합해서 얼마죠?,총 18500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 4잔 합해서 얼마죠?,총 23500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 5잔 합해서 얼마죠?,총 28500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 1잔 합해서 얼마죠?,총 12000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 2잔 합해서 얼마죠?,총 17000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 3잔 합해서 얼마죠?,총 22000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 4잔 합해서 얼마죠?,총 27000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 5잔 합해서 얼마죠?,총 32000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 1잔 합해서 얼마죠?,총 15500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 2잔 합해서 얼마죠?,총 20500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 3잔 합해서 얼마죠?,총 25500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 4잔 합해서 얼마죠?,총 30500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 5잔 합해서 얼마죠?,총 35500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 1잔 합해서 얼마죠?,총 19000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 2잔 합해서 얼마죠?,총 24000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 3잔 합해서 얼마죠?,총 29000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 4잔 합해서 얼마죠?,총 34000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 5잔 합해서 얼마죠?,총 39000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 1잔 합해서 얼마죠?,총 22500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 2잔 합해서 얼마죠?,총 27500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 3잔 합해서 얼마죠?,총 32500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 4잔 합해서 얼마죠?,총 37500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 5잔 합해서 얼마죠?,총 42500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 1잔 합해서 얼마죠?,총 8000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 2잔 합해서 얼마죠?,총 12500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 3잔 합해서 얼마죠?,총 17000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 4잔 합해서 얼마죠?,총 21500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 5잔 합해서 얼마죠?,총 26000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 1잔 합해서 얼마죠?,총 11500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 2잔 합해서 얼마죠?,총 16000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 3잔 합해서 얼마죠?,총 20500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 4잔 합해서 얼마죠?,총 25000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 5잔 합해서 얼마죠?,총 29500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 1잔 합해서 얼마죠?,총 15000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 2잔 합해서 얼마죠?,총 19500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 3잔 합해서 얼마죠?,총 24000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 4잔 합해서 얼마죠?,총 28500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 5잔 합해서 얼마죠?,총 33000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 1잔 합해서 얼마죠?,총 18500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 2잔 합해서 얼마죠?,총 23000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 3잔 합해서 얼마죠?,총 27500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 4잔 합해서 얼마죠?,총 32000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 5잔 합해서 얼마죠?,총 36500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 1잔 합해서 얼마죠?,총 22000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 2잔 합해서 얼마죠?,총 26500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 3잔 합해서 얼마죠?,총 31000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 4잔 합해서 얼마죠?,총 35500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 5잔 합해서 얼마죠?,총 40000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 베이글 합해서 얼마죠?,총 6500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 베이글 합해서 얼마죠?,총 10000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 베이글 합해서 얼마죠?,총 13500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 빙수 합해서 얼마죠?,총 13300원 입니다.,제품_가격_질문
아메리카노 2잔이랑 빙수 합해서 얼마죠?,총 16800원 입니다.,제품_가격_질문
아메리카노 3잔이랑 빙수 합해서 얼마죠?,총 20300원 입니다.,제품_가격_질문
아메리카노 1잔이랑 샌드위치 합해서 얼마죠?,총 8400원 입니다.,제품_가격_질문
아메리카노 2잔이랑 샌드위치 합해서 얼마죠?,총 11900원 입니다.,제품_가격_질문
아메리카노 3잔이랑 샌드위치 합해서 얼마죠?,총 15400원 입니다.,제품_가격_질문
아메리카노 1잔이랑 케이크 합해서 얼마죠?,총 8000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 케이크 합해서 얼마죠?,총 11500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 케이크 합해서 얼마죠?,총 15000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 쿠키 합해서 얼마죠?,총 5500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 쿠키 합해서 얼마죠?,총 9000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 쿠키 합해서 얼마죠?,총 12500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아이스크림 합해서 얼마죠?,총 12400원 입니다.,제품_가격_질문
아메리카노 2잔이랑 아이스크림 합해서 얼마죠?,총 15900원 입니다.,제품_가격_질문
아메리카노 3잔이랑 아이스크림 합해서 얼마죠?,총 19400원 입니다.,제품_가격_질문
아메리카노 1잔이랑 초콜릿 합해서 얼마죠?,총 5500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 초콜릿 합해서 얼마죠?,총 9000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 초콜릿 합해서 얼마죠?,총 12500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 와플 합해서 얼마죠?,총 10500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 와플 합해서 얼마죠?,총 14000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 와플 합해서 얼마죠?,총 17500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 도넛 합해서 얼마죠?,총 5700원 입니다.,제품_가격_질문
아메리카노 2잔이랑 도넛 합해서 얼마죠?,총 9200원 입니다.,제품_가격_질문
아메리카노 3잔이랑 도넛 합해서 얼마죠?,총 12700원 입니다.,제품_가격_질문
아메리카노 1잔이랑 마카롱 합해서 얼마죠?,총 5500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 마카롱 합해서 얼마죠?,총 9000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 마카롱 합해서 얼마죠?,총 12500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 1잔 주문하면 얼마인가요?,총 7000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 2잔 주문하면 얼마인가요?,총 10500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 3잔 주문하면 얼마인가요?,총 14000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 4잔 주문하면 얼마인가요?,총 17500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아메리카노 5잔 주문하면 얼마인가요?,총 21000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 1잔 주문하면 얼마인가요?,총 8000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 2잔 주문하면 얼마인가요?,총 12500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 3잔 주문하면 얼마인가요?,총 17000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 4잔 주문하면 얼마인가요?,총 21500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페라떼 5잔 주문하면 얼마인가요?,총 26000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 1잔 주문하면 얼마인가요?,총 11500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 2잔 주문하면 얼마인가요?,총 16000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 3잔 주문하면 얼마인가요?,총 20500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 4잔 주문하면 얼마인가요?,총 25000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페라떼 5잔 주문하면 얼마인가요?,총 29500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 1잔 주문하면 얼마인가요?,총 15000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 2잔 주문하면 얼마인가요?,총 19500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페라떼 3잔 주문하면 얼마인가요?,총 24000원 입니다.,제품_가격_질문
