Q,A,Label
아메리카노 4잔이랑 카페라떼 3잔 합해서 얼마죠?,가격은 27500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페라떼 4잔 합해서 얼마죠?,가격은 32000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페라떼 5잔 합해서 얼마죠?,가격은 36500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 1잔 합해서 얼마죠?,가격은 22000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 2잔 합해서 얼마죠?,가격은 26500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 3잔 합해서 얼마죠?,가격은 31000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 4잔 합해서 얼마죠?,가격은 35500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페라떼 5잔 합해서 얼마죠?,가격은 40000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 1잔 합해서 얼마죠?,가격은 9000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 2잔 합해서 얼마죠?,가격은 14500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 3잔 합해서 얼마죠?,가격은 20000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 4잔 합해서 얼마죠?,가격은 25500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카페모카 5잔 합해서 얼마죠?,가격은 31000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 1잔 합해서 얼마죠?,가격은 12500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 2잔 합해서 얼마죠?,가격은 18000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 3잔 합해서 얼마죠?,가격은 23500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 4잔 합해서 얼마죠?,가격은 29000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카페모카 5잔 합해서 얼마죠?,가격은 34500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 1잔 합해서 얼마죠?,가격은 16000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 2잔 합해서 얼마죠?,가격은 21500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 3잔 합해서 얼마죠?,가격은 27000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 4잔 합해서 얼마죠?,가격은 32500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카페모카 5잔 합해서 얼마죠?,가격은 38000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 1잔 합해서 얼마죠?,가격은 19500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 2잔 합해서 얼마죠?,가격은 25000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 3잔 합해서 얼마죠?,가격은 30500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 4잔 합해서 얼마죠?,가격은 36000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카페모카 5잔 합해서 얼마죠?,가격은 41500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 1잔 합해서 얼마죠?,가격은 23000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 2잔 합해서 얼마죠?,가격은 28500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 3잔 합해서 얼마죠?,가격은 34000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 4잔 합해서 얼마죠?,가격은 39500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카페모카 5잔 합해서 얼마죠?,가격은 45000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 9000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 14500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 20000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 25500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 31000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 12500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 18000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 23500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 29000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 34500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 16000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 21500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 27000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 32500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 38000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 19500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 25000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 30500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 36000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 41500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 23000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 28500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 34000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 39500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 45000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 9000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 14500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 20000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 25500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 31000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 12500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 18000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 23500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 29000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 34500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 16000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 21500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 27000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 32500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 38000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 19500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 25000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 30500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 36000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 41500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 1잔 합해서 얼마죠?,가격은 23000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 2잔 합해서 얼마죠?,가격은 28500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 3잔 합해서 얼마죠?,가격은 34000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 4잔 합해서 얼마죠?,가격은 39500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 바닐라라떼 5잔 합해서 얼마죠?,가격은 45000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 1잔 합해서 얼마죠?,가격은 7500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 2잔 합해서 얼마죠?,가격은 11500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 3잔 합해서 얼마죠?,가격은 15500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 4잔 합해서 얼마죠?,가격은 19500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 콜드브루 5잔 합해서 얼마죠?,가격은 23500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 1잔 합해서 얼마죠?,가격은 11000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 2잔 합해서 얼마죠?,가격은 15000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 3잔 합해서 얼마죠?,가격은 19000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 4잔 합해서 얼마죠?,가격은 23000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 콜드브루 5잔 합해서 얼마죠?,가격은 27000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 1잔 합해서 얼마죠?,가격은 14500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 2잔 합해서 얼마죠?,가격은 18500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 3잔 합해서 얼마죠?,가격은 22500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 4잔 합해서 얼마죠?,가격은 26500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 콜드브루 5잔 합해서 얼마죠?,가격은 30500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 1잔 합해서 얼마죠?,가격은 18000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 2잔 합해서 얼마죠?,가격은 22000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 3잔 합해서 얼마죠?,가격은 26000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 4잔 합해서 얼마죠?,가격은 30000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 콜드브루 5잔 합해서 얼마죠?,가격은 34000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 1잔 합해서 얼마죠?,가격은 21500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 2잔 합해서 얼마죠?,가격은 25500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 3잔 합해서 얼마죠?,가격은 29500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 4잔 합해서 얼마죠?,가격은 33500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 콜드브루 5잔 합해서 얼마죠?,가격은 37500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,가격은 9000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,가격은 14500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,가격은 20000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,가격은 25500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,가격은 31000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,가격은 12500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,가격은 18000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,가격은 23500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,가격은 29000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,가격은 34500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,가격은 16000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,가격은 21500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,가격은 27000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,가격은 32500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,가격은 38000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,가격은 19500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,가격은 25000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,가격은 30500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,가격은 36000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,가격은 41500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 1잔 합해서 얼마죠?,가격은 23000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 2잔 합해서 얼마죠?,가격은 28500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 3잔 합해서 얼마죠?,가격은 34000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 4잔 합해서 얼마죠?,가격은 39500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카라멜 마끼아또 5잔 합해서 얼마죠?,가격은 45000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 1잔 합해서 얼마죠?,가격은 8500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 2잔 합해서 얼마죠?,가격은 13500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 3잔 합해서 얼마죠?,가격은 18500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 4잔 합해서 얼마죠?,가격은 23500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 카푸치노 5잔 합해서 얼마죠?,가격은 28500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 1잔 합해서 얼마죠?,가격은 12000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 2잔 합해서 얼마죠?,가격은 17000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 3잔 합해서 얼마죠?,가격은 22000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 4잔 합해서 얼마죠?,가격은 27000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 카푸치노 5잔 합해서 얼마죠?,가격은 32000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 1잔 합해서 얼마죠?,가격은 15500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 2잔 합해서 얼마죠?,가격은 20500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 3잔 합해서 얼마죠?,가격은 25500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 4잔 합해서 얼마죠?,가격은 30500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 카푸치노 5잔 합해서 얼마죠?,가격은 35500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 1잔 합해서 얼마죠?,가격은 19000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 2잔 합해서 얼마죠?,가격은 24000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 3잔 합해서 얼마죠?,가격은 29000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 4잔 합해서 얼마죠?,가격은 34000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 카푸치노 5잔 합해서 얼마죠?,가격은 39000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 1잔 합해서 얼마죠?,가격은 22500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 2잔 합해서 얼마죠?,가격은 27500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 3잔 합해서 얼마죠?,가격은 32500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 4잔 합해서 얼마죠?,가격은 37500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 카푸치노 5잔 합해서 얼마죠?,가격은 42500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 1잔 합해서 얼마죠?,가격은 8000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 2잔 합해서 얼마죠?,가격은 12500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 3잔 합해서 얼마죠?,가격은 17000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 4잔 합해서 얼마죠?,가격은 21500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 밀크티 5잔 합해서 얼마죠?,가격은 26000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 1잔 합해서 얼마죠?,가격은 11500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 2잔 합해서 얼마죠?,가격은 16000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 3잔 합해서 얼마죠?,가격은 20500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 4잔 합해서 얼마죠?,가격은 25000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 밀크티 5잔 합해서 얼마죠?,가격은 29500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 1잔 합해서 얼마죠?,가격은 15000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 2잔 합해서 얼마죠?,가격은 19500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 3잔 합해서 얼마죠?,가격은 24000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 4잔 합해서 얼마죠?,가격은 28500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 밀크티 5잔 합해서 얼마죠?,가격은 33000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 1잔 합해서 얼마죠?,가격은 18500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 2잔 합해서 얼마죠?,가격은 23000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 3잔 합해서 얼마죠?,가격은 27500원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 4잔 합해서 얼마죠?,가격은 32000원 입니다.,제품_가격_질문
아메리카노 4잔이랑 밀크티 5잔 합해서 얼마죠?,가격은 36500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 1잔 합해서 얼마죠?,가격은 22000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 2잔 합해서 얼마죠?,가격은 26500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 3잔 합해서 얼마죠?,가격은 31000원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 4잔 합해서 얼마죠?,가격은 35500원 입니다.,제품_가격_질문
아메리카노 5잔이랑 밀크티 5잔 합해서 얼마죠?,가격은 40000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 베이글 합해서 얼마죠?,가격은 6500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 베이글 합해서 얼마죠?,가격은 10000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 베이글 합해서 얼마죠?,가격은 13500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 빙수 합해서 얼마죠?,가격은 13300원 입니다.,제품_가격_질문
아메리카노 2잔이랑 빙수 합해서 얼마죠?,가격은 16800원 입니다.,제품_가격_질문
아메리카노 3잔이랑 빙수 합해서 얼마죠?,가격은 20300원 입니다.,제품_가격_질문
아메리카노 1잔이랑 샌드위치 합해서 얼마죠?,가격은 8400원 입니다.,제품_가격_질문
아메리카노 2잔이랑 샌드위치 합해서 얼마죠?,가격은 11900원 입니다.,제품_가격_질문
아메리카노 3잔이랑 샌드위치 합해서 얼마죠?,가격은 15400원 입니다.,제품_가격_질문
아메리카노 1잔이랑 케이크 합해서 얼마죠?,가격은 8000원 입니다.,제품_가격_질문
아메리카노 2잔이랑 케이크 합해서 얼마죠?,가격은 11500원 입니다.,제품_가격_질문
아메리카노 3잔이랑 케이크 합해서 얼마죠?,가격은 15000원 입니다.,제품_가격_질문
아메리카노 1잔이랑 쿠키 합해서 얼마죠?,가격은 5500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 쿠키 합해서 얼마죠?,가격은 9000원 입니다.,제품_가격_질문
아메리카노 3잔이랑 쿠키 합해서 얼마죠?,가격은 12500원 입니다.,제품_가격_질문
아메리카노 1잔이랑 아이스크림 합해서 얼마죠?,가격은 12400원 입니다.,제품_가격_질문
아메리카노 2잔이랑 아이스크림 합해서 얼마죠?,가격은 15900원 입니다.,제품_가격_질문
아메리카노 3잔이랑 아이스크림 합해서 얼마죠?,가격은 19400원 입니다.,제품_가격_질문
아메리카노 1잔이랑 초콜릿 합해서 얼마죠?,가격은 5500원 입니다.,제품_가격_질문
아메리카노 2잔이랑 초콜릿 합해서 얼마죠?,가격은 9000원 입니다.,제품_가격_질문
