Q,A,Intent
 콜드브루 포장 되나요?, 콜드브루 포장 가능합니다.,포장
 콜드브루 샷 추가 되나요?, 콜드브루 샷 추가 가능합니다.,주문
 콜드브루 샷 추가 해주세요, 콜드브루 샷 추가해 드리겠습니다.,주문
 콜드브루 샷 추가 얼마인가요?,"샷 추가 1회 500원 입니다.""",제품
 콜드브루 4천원 맞죠?, 콜드브루 가격은 4000원 입니다.,제품
 콜드브루 5천원인가요?, 콜드브루 가격은 4000원 입니다.,제품
 콜드브루 디카페인 주문 가능한가요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
 콜드브루 디카페인 되나요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
 밀크티 얼마에요?, 밀크티 가격은 4500원 입니다.,제품
따뜻한  밀크티 얼마인가요?,따뜻한  밀크티 가격은 4500원 입니다.,제품
아이스  밀크티 얼마인가요?,아이스  밀크티 가격은 4500원 입니다.,제품
 밀크티 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
 밀크티 한 잔 주세요,"차가운 것으로 드릴까요?, 따뜻한 것으로 드릴까요?",주문
따뜻한  밀크티 한 잔 주세요,"네, 따뜻한  밀크티 한 잔 준비해 드리겠습니다.",주문
아이스  밀크티 한 잔 주세요,"네, 아이스  밀크티 한 잔 준비해 드리겠습니다.",주문
 밀크티 포장 되나요?, 밀크티 포장 가능합니다.,포장
 밀크티 샷 추가 되나요?, 밀크티 샷 추가 가능합니다.,주문
 밀크티 샷 추가 해주세요, 밀크티 샷 추가해 드리겠습니다.,주문
 밀크티 샷 추가 얼마인가요?,"샷 추가 1회 500원 입니다.""",제품
 밀크티 4천원 맞죠?, 밀크티 가격은 4500원 입니다.,제품
 밀크티 5천원인가요?, 밀크티 가격은 4500원 입니다.,제품
 밀크티 디카페인 주문 가능한가요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
 밀크티 디카페인 되나요?,"죄송합니다, 저희 매장에는 디카페인 커피가 없습니다.",주문
베이글 얼마에요?,베이글 가격은 3000원 입니다.,제품
베이글 4천원 맞죠?,베이글 가격은 3000원 입니다.,제품
베이글 5천원인가요?,베이글 가격은 3000원 입니다.,제품
베이글 포장 되나요?,베이글 포장 가능합니다.,포장
빙수 얼마에요?,빙수 가격은 9800원 입니다.,제품
빙수 4천원 맞죠?,빙수 가격은 9800원 입니다.,제품
빙수 5천원인가요?,빙수 가격은 9800원 입니다.,제품
빙수 포장 되나요?,빙수 포장 가능합니다.,포장
샌드위치 얼마에요?,샌드위치 가격은 4900원 입니다.,제품
샌드위치 4천원 맞죠?,샌드위치 가격은 4900원 입니다.,제품
샌드위치 5천원인가요?,샌드위치 가격은 4900원 입니다.,제품
샌드위치 포장 되나요?,샌드위치 포장 가능합니다.,포장
마카롱 얼마에요?,마카롱 가격은 2000원 입니다.,제품
마카롱 4천원 맞죠?,마카롱 가격은 2000원 입니다.,제품
마카롱 5천원인가요?,마카롱 가격은 2000원 입니다.,제품
마카롱 포장 되나요?,마카롱 포장 가능합니다.,포장
케이크 얼마에요?,케이크 가격은 4500원 입니다.,제품
케이크 4천원 맞죠?,케이크 가격은 4500원 입니다.,제품
케이크 5천원인가요?,케이크 가격은 4500원 입니다.,제품
케이크 포장 되나요?,케이크 포장 가능합니다.,포장
쿠키 얼마에요?,쿠키 가격은 1500원 입니다.,제품
쿠키 4천원 맞죠?,쿠키 가격은 1500원 입니다.,제품
쿠키 5천원인가요?,쿠키 가격은 1500원 입니다.,제품
쿠키 포장 되나요?,쿠키 포장 가능합니다.,포장
아이스크림 얼마에요?,아이스크림 가격은 8900원 입니다.,제품
아이스크림 4천원 맞죠?,아이스크림 가격은 8900원 입니다.,제품
아이스크림 5천원인가요?,아이스크림 가격은 8900원 입니다.,제품
아이스크림 포장 되나요?,아이스크림 포장 가능합니다.,포장
초콜릿 얼마에요?,초콜릿 가격은 2000원 입니다.,제품
초콜릿 4천원 맞죠?,초콜릿 가격은 2000원 입니다.,제품
초콜릿 5천원인가요?,초콜릿 가격은 2000원 입니다.,제품
초콜릿 포장 되나요?,초콜릿 포장 가능합니다.,포장
와플 얼마에요?,와플 가격은 7000원 입니다.,제품
와플 4천원 맞죠?,와플 가격은 7000원 입니다.,제품
와플 5천원인가요?,와플 가격은 7000원 입니다.,제품
와플 포장 되나요?,와플 포장 가능합니다.,포장
도넛 얼마에요?,도넛 가격은 2200원 입니다.,제품
도넛 4천원 맞죠?,도넛 가격은 2200원 입니다.,제품
도넛 5천원인가요?,도넛 가격은 2200원 입니다.,제품
도넛 포장 되나요?,도넛 포장 가능합니다.,포장
인가요?,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
해줘요,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
있어요?,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
가능한가요?,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
되나요?,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
맞죠?,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
맞나요?,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅁㄹㄴㅇ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
롷ㅇㄷ고,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅜ터사,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅅ요ㅑ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅓ호ㅓㅏㅗㅓㅣ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
럻,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㄹ허오죱서ㅏ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅓㅎ러,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㄴ오하ㅓ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅜㅋㄷㄱ서거ㅕ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
목더덤렁,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅂㄱ셔루,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
"ㅂㅈㅂ줏,",죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅜㄴㅇ력셔ㅓㄴ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅓㄳㄱㅔㅐㅜㅡ스,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
널헛ㄵㄷt34t3y hg5ㅁㄻㄹㅈ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅌㅊ푹석섬ㄷ고23523,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
두가ㅣㅏㅛㅓ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ㅌㅊㅍㄶ,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
5허ㅏ34ㅎ5345,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
aerhhdf,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
uieghkajsb,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
bposnrheh,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
dsfhjfgnfg,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
jyritiy,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ag,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
dhsdfhstjt,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
sut,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
rtjsrtjtrjrtks,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
yoyirtjdrtjdrtjsd,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
reahrehsedhrhjtyru,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
tyityitjghmghm,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
rturtuyrstytjhjtyj,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
jkfghkjfyhityfity,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
uhjfdjfghjdghjdfhjfgjkrtyywwrw,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ghmfghjmftyuiyr,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
ertwgfds gsdfhfgjrtu,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
tasgahdfhsdfh,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
yreuukkgty2353r34ghd,죄송합니다. 무슨 말씀이신지 모르겠습니다.,주문
아아 한잔 주세요,"네, 아이스 아메리카노 한 잔 준비해드리겠습니다.",주문
